date,average_gas_per_transaction
2022-03-09,5382661095405.28
2022-03-08,5365308424861.923
2022-03-07,5552780508958.686
2022-03-06,6268769788576.107
2022-03-05,4917069539494.936
2022-03-04,4626497735750.294
2022-03-03,5543491660722.254
2022-03-02,7483803824770.538
2022-03-01,12350552641494.938
2022-02-28,6570171148452.692
2022-02-27,7602235360379.413
2022-02-26,10325359199867.508
2022-02-25,12459612448781.63
2022-02-24,16848618013321.178
2022-02-23,8532323272412.299
2022-02-22,23078527142782.42
2022-02-21,11648242003884.217
2022-02-20,12863097147757.537
2022-02-19,6465940049505.052
2022-02-18,8733396490765.349
2022-02-17,10504917881630.654
2022-02-16,10949751885872.346
2022-02-15,7939276085602.283
2022-02-14,5586541283132.51
2022-02-13,11538586553308.518
2022-02-12,9481310933747.967
2022-02-11,9299820092950.834
2022-02-10,7520852605714.096
2022-02-09,7725070085883.545
2022-02-08,9451880195683.092
2022-02-07,7600904055487.06
2022-02-06,9321124533987.047
2022-02-05,6373379366099.8545
2022-02-04,8873643201835.129
2022-02-03,9415424412182.578
2022-02-02,9316719806809.879
2022-02-01,8671103855264.158
2022-01-31,7751488569941.16
2022-01-30,14943777588211.13
2022-01-29,8663790211864.678
2022-01-28,11364415578511.904
2022-01-27,7766951251685.043
2022-01-26,8607676656145.601
2022-01-25,8046925158938.523
2022-01-24,7294431528205.666
2022-01-23,10810821692904.785
2022-01-22,7932431974547.191
2022-01-21,9387450319484.328
2022-01-20,8018542346603.319
2022-01-19,10480565769537.52
2022-01-18,7499762710634.649
2022-01-17,6926054198337.524
2022-01-16,9620161768818.584
2022-01-15,6219559667711.522
2022-01-14,5993911831085.946
2022-01-13,6836447790933.301
2022-01-12,7774515933464.962
2022-01-11,5844649330219.905
2022-01-10,5860675977890.612
2022-01-09,8145882124244.354
2022-01-08,6283378758446.839
2022-01-07,6382656254009.139
2022-01-06,6382366347503.248
2022-01-05,7525799711654.017
2022-01-04,6583800568081.453
2022-01-03,8648240837695.945
2022-01-02,7364545241378.405
2022-01-01,5926604616296.15
2021-12-31,6226199338700.518
2021-12-30,4722878607159.779
2021-12-29,5785554727312.96
2021-12-28,6105241297758.307
2021-12-27,6718158100126.447
2021-12-26,8557737698469.531
2021-12-25,4330185256179.1626
2021-12-24,4968131158981.658
2021-12-23,5383930758632.924
2021-12-22,5585094333897.895
2021-12-21,5220020336333.755
2021-12-20,4869682108444.666
2021-12-19,8733314672827.711
2021-12-18,4736395587200.771
2021-12-17,3959414180568.5254
2021-12-16,4731249184982.221
2021-12-15,4774456458093.623
2021-12-14,4394148513826.6577
2021-12-13,4578492335946.9375
2021-12-12,7244419333339.784
2021-12-11,4836229837986.319
2021-12-10,4503954387447.369
2021-12-09,4922730457703.808
2021-12-08,4926027478855.298
2021-12-07,4489530652442.659
2021-12-06,5046775734612.553
2021-12-05,6939078135438.514
2021-12-04,5451086236409.688
2021-12-03,5476337106969.236
2021-12-02,4621847094982.142
2021-12-01,6741960569414.302
2021-11-30,5116457986292.959
2021-11-29,5387880394905.956
2021-11-28,5409187877688.227
2021-11-27,3543358635245.215
2021-11-26,5383066625372.915
2021-11-25,4474297395678.206
2021-11-24,5182571365965.302
2021-11-23,5305491230540.231
2021-11-22,6031483924201.496
2021-11-21,6387596583399.15
2021-11-20,6339071834060.306
2021-11-19,6586967417243.504
2021-11-18,6845446888582.735
2021-11-17,8394794759842.875
2021-11-16,6429904705016.036
2021-11-15,6068713208226.303
2021-11-14,8855694167643.154
2021-11-13,7499482803294.421
2021-11-12,6254226676091.646
2021-11-11,5672513173921.059
2021-11-10,6949403229991.628
2021-11-09,6283364306606.716
2021-11-08,6552182873852.392
2021-11-07,6948160475366.149
2021-11-06,6314879275866.105
2021-11-05,6081855964981.071
2021-11-04,6611917656673.597
2021-11-03,6727763250675.949
2021-11-02,5790217580763.278
2021-11-01,7159213235498.64
2021-10-31,6583020890376.849
2021-10-30,5291442549108.878
2021-10-29,5881458933848.404
2021-10-28,7530235886967.145
2021-10-27,7270606973112.655
2021-10-26,6744678949839.731
2021-10-25,6953119097445.975
2021-10-24,5253911839404.075
2021-10-23,6310916915294.285
2021-10-22,5371147122255.286
2021-10-21,5841939951016.956
2021-10-20,6080864933439.511
2021-10-19,5319386205290.027
2021-10-18,5326309070811.463
2021-10-17,5151332434076.817
2021-10-16,5345264462432.989
2021-10-15,5476873175991.02
2021-10-14,5605627484692.219
2021-10-13,6851530895916.744
2021-10-12,5492549359746.526
2021-10-11,5215894605917.739
2021-10-10,4926760782636.889
2021-10-09,4939562028299.327
2021-10-08,5361112006902.831
2021-10-07,5856344732748.445
2021-10-06,6632352617100.58
2021-10-05,9562282957887.174
2021-10-04,9177330969777.004
2021-10-03,7319326237979.088
2021-10-02,6463040070508.91
2021-10-01,6631072818188.875
2021-09-30,7151484382993.271
2021-09-29,5255188003364.921
2021-09-28,4706943980024.518
2021-09-27,4697491035292.227
2021-09-26,4576120709142.942
2021-09-25,3818471618377.4897
2021-09-24,4317295068602.6826
2021-09-23,4957470265443.738
2021-09-22,4319877289504.382
2021-09-21,4516612302955.929
2021-09-20,5421690334640.076
2021-09-19,5158182601220.624
2021-09-18,7366884359299.598
2021-09-17,5613737404271.68
2021-09-16,6148123992415.224
2021-09-15,7453946665400.251
2021-09-14,6223022109345.652
2021-09-13,6268422639874.245
2021-09-12,5312307298859.803
2021-09-11,4391040649079.174
2021-09-10,4870751513566.298
2021-09-09,5155912315118.011
2021-09-08,2855684123844.5137
2021-09-07,5724926057317.634
2021-09-06,5714672020007.389
2021-09-05,5063388010226.706
2021-09-04,5165634227331.735
2021-09-03,6547989388529.308
2021-09-02,5260077381892.216
