date,volume
2022-09-07,207426760.880895011
2022-09-06,285066589.208834937
2022-09-05,137660814.508655475
2022-09-04,99533301.081707114
2022-09-03,90478501.123215794
2022-09-02,160508632.891067894
2022-09-01,137631572.072038432
2022-08-31,111396418.617630085
2022-08-30,134159411.26815532
2022-08-29,132047555.075271839
2022-08-28,117419776.276133699
2022-08-27,146617424.530073562
2022-08-26,156120185.138652587
2022-08-25,253168457.37179642
2022-08-24,381385816.359945061
2022-08-23,128695901.149543613
2022-08-22,966420698.891335625
2022-08-21,104342553.869252606
2022-08-20,177553935.779138118
2022-08-19,355128678.803699055
2022-08-18,746355161.212502503
2022-08-17,485138798.021151915
2022-08-16,203064708.581005088
2022-08-15,258581038.649867527
2022-08-14,277379590.646436475
2022-08-13,210390888.327225571
2022-08-12,278964111.930610964
2022-08-11,339894015.76933988
2022-08-10,217002909.483541896
2022-08-09,197926045.848367316
2022-08-08,184094509.833740608
2022-08-07,185000570.152548432
2022-08-06,502399917.298632179
2022-08-05,176157368.63966084
2022-08-04,120128843.949593454
2022-08-03,173537830.866320776
2022-08-02,185789655.652220702
2022-08-01,164626397.871428613
2022-07-31,619659656.299772298
2022-07-30,8010752.637759337
2022-07-29,303059271.492535403
2022-07-28,554678839.396051883
2022-07-27,246702929.342151867
2022-07-26,646351666.696267544
2022-07-25,437784981.243723618
2022-07-24,95951690.403584069
2022-07-23,135952476.356396189
2022-07-22,561615883.895290332
2022-07-21,136219133.913327375
2022-07-20,533728640.365478743
2022-07-19,507773873.777851034
2022-07-18,248447805.352722184
2022-07-17,145701987.956898337
2022-07-16,155290241.821758601
2022-07-15,217008826.93454657
2022-07-14,421923055.34328063
2022-07-13,279892088.579878856
2022-07-12,255063839.131339471
2022-07-11,181566171.156597538
2022-07-10,123829140.12228912
2022-07-09,150985732.186202693
2022-07-08,348330757.988569814
2022-07-07,262020240.435804693
2022-07-06,199256817.83936212
2022-07-05,296846582.215183986
2022-07-04,192978780.015973269
2022-07-03,173878952.215234285
2022-07-02,276052627.165332084
2022-07-01,457494935.4119201
2022-06-30,465922851.601437918
2022-06-29,385781291.018146057
2022-06-28,500380621.076469431
2022-06-27,384992680.014423937
2022-06-26,470470049.877813854
2022-06-25,690061905.339545102
2022-06-24,929581571.541711102
2022-06-23,334258601.675642477
2022-06-22,432065529.842059166
2022-06-21,1211643028.422650812
2022-06-20,342668852.356813467
2022-06-19,226857934.519700069
2022-06-18,375886084.145126769
2022-06-17,295920480.112834142
2022-06-16,406590509.627360496
2022-06-15,359660207.46899951
2022-06-14,548839477.188176398
2022-06-13,641931736.033501047
2022-06-12,232354768.849264465
2022-06-11,270345248.934816886
2022-06-10,353566524.922673618
2022-06-09,198933543.97311942
2022-06-08,217008427.72997245
2022-06-07,351681681.831931333
2022-06-06,416740787.252367513
2022-06-05,173958020.167475646
2022-06-04,137286664.922274878
2022-06-03,333364212.827711599
2022-06-02,344610063.557895565
2022-06-01,551634467.925975861
2022-05-31,604604216.695596318
2022-05-30,310938129.071825107
2022-05-29,467158939.577760761
2022-05-28,234480087.744237505
2022-05-27,398124214.332326554
2022-05-26,512182392.465605383
2022-05-25,207214678.881307585
2022-05-24,611809406.00575564
2022-05-23,686803911.439684993
2022-05-22,696178824.024705811
2022-05-21,253604743.259174542
2022-05-20,491833292.836358307
2022-05-19,535249355.233403339
2022-05-18,402808064.563890166
2022-05-17,367043867.631918325
2022-05-16,273432176.976327504
2022-05-15,203880608.193066471
2022-05-14,357391158.946595066
2022-05-13,850528897.344492316
2022-05-12,1010340250.317983043
2022-05-11,936164507.443798224
2022-05-10,775700410.377792462
2022-05-09,488496828.400453078
2022-05-08,445410513.360080158
2022-05-07,527855440.635937429
2022-05-06,713504315.170791883
2022-05-05,1136122912.47565454
2022-05-04,529220350.847288381
2022-05-03,242311182.292878293
2022-05-02,315273582.567346935
2022-05-01,382728949.526241958
2022-04-30,395891968.430111159
2022-04-29,549744986.766376696
2022-04-28,697036656.551882461
